RISC-V Core AXI Test Log
Simulation Start:                    0

Cycle      0: PC=0xxxxxxxxx, Instr=0xxxxxxxxx, ALU=0xxxxxxxxx, Stall=x
Cycle     34: PC=0x0000000c, Instr=0x00100113, ALU=0x00000000, Stall=1
Cycle     34: PC=0x0000000c, Instr=0x00100113, ALU=0x00000001, Stall=1
Cycle     38: PC=0x0000000c, Instr=0x00100113, ALU=0x00000001, Stall=1
Cycle     38: PC=0x0000000c, Instr=0x00100113, ALU=0x00000001, Stall=1
Cycle     42: PC=0x0000000c, Instr=0x002081b3, ALU=0x00000001, Stall=0
Cycle     42: PC=0x00000010, Instr=0x002081b3, ALU=0x00000001, Stall=1
Cycle     46: PC=0x00000010, Instr=0x002081b3, ALU=0x00000001, Stall=1
Cycle     46: PC=0x00000010, Instr=0x002081b3, ALU=0x00000001, Stall=1
Cycle     50: PC=0x00000010, Instr=0x002081b3, ALU=0x00000001, Stall=1
Cycle     50: PC=0x00000010, Instr=0x00208233, ALU=0x00000001, Stall=0
Cycle     54: PC=0x00000014, Instr=0x00208233, ALU=0x00000001, Stall=1
Cycle     54: PC=0x00000014, Instr=0x00208233, ALU=0x00000001, Stall=1
Cycle     58: PC=0x00000014, Instr=0x00208233, ALU=0x00000001, Stall=1
Cycle     58: PC=0x00000014, Instr=0x00208233, ALU=0x00000001, Stall=1
Cycle     62: PC=0x00000014, Instr=0x003202b3, ALU=0x00000001, Stall=0
Cycle     62: PC=0x00000018, Instr=0x003202b3, ALU=0x00000001, Stall=1
Cycle     66: PC=0x00000018, Instr=0x003202b3, ALU=0x00000002, Stall=1
Cycle     66: PC=0x00000018, Instr=0x003202b3, ALU=0x00000002, Stall=1
Cycle     70: PC=0x00000018, Instr=0x003202b3, ALU=0x00000002, Stall=1
Cycle     70: PC=0x00000018, Instr=0x00400313, ALU=0x00000002, Stall=0
Cycle     74: PC=0x0000001c, Instr=0x00400313, ALU=0x00000002, Stall=1
Cycle     74: PC=0x0000001c, Instr=0x00400313, ALU=0x00000004, Stall=1
Cycle     78: PC=0x0000001c, Instr=0x00400313, ALU=0x00000004, Stall=1
Cycle     78: PC=0x0000001c, Instr=0x00400313, ALU=0x00000004, Stall=1
Cycle     82: PC=0x0000001c, Instr=0x006283b3, ALU=0x00000004, Stall=0
Cycle     82: PC=0x00000020, Instr=0x006283b3, ALU=0x00000004, Stall=1
Cycle     86: PC=0x00000020, Instr=0x006283b3, ALU=0x00000006, Stall=1
Cycle     86: PC=0x00000020, Instr=0x006283b3, ALU=0x00000006, Stall=1
Cycle     90: PC=0x00000020, Instr=0x006283b3, ALU=0x00000006, Stall=1
Cycle     90: PC=0x00000020, Instr=0x00100413, ALU=0x00000006, Stall=0
Cycle     94: PC=0x00000024, Instr=0x00100413, ALU=0x00000006, Stall=1
Cycle     94: PC=0x00000024, Instr=0x00100413, ALU=0x00000001, Stall=1
Cycle     98: PC=0x00000024, Instr=0x00100413, ALU=0x00000001, Stall=1
Cycle     98: PC=0x00000024, Instr=0x00100413, ALU=0x00000001, Stall=1
Cycle    102: PC=0x00000024, Instr=0x00838433, ALU=0x00000001, Stall=0
Cycle    102: PC=0x00000028, Instr=0x00838433, ALU=0x00000001, Stall=1
Cycle    106: PC=0x00000028, Instr=0x00838433, ALU=0x00000007, Stall=1
Cycle    106: PC=0x00000028, Instr=0x00838433, ALU=0x0000000d, Stall=1
Cycle    110: PC=0x00000028, Instr=0x00838433, ALU=0x00000013, Stall=1
Cycle    110: PC=0x00000028, Instr=0x0000006f, ALU=0x00000019, Stall=0
Cycle    114: PC=0x0000002c, Instr=0x0000006f, ALU=0x0000001f, Stall=1
Cycle    114: PC=0x0000002c, Instr=0x0000006f, ALU=0x00000000, Stall=1
Cycle    118: PC=0x0000002c, Instr=0x0000006f, ALU=0x00000000, Stall=1
Cycle    118: PC=0x0000002c, Instr=0x0000006f, ALU=0x00000000, Stall=1
Cycle    122: PC=0x0000002c, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    122: PC=0x00000030, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    126: PC=0x00000030, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    126: PC=0x00000030, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    130: PC=0x00000030, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    130: PC=0x00000030, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    134: PC=0x00000034, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    134: PC=0x00000034, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    138: PC=0x00000034, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    138: PC=0x00000034, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    142: PC=0x00000034, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    142: PC=0x00000038, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    146: PC=0x00000038, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    146: PC=0x00000038, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    150: PC=0x00000038, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    150: PC=0x00000038, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    154: PC=0x0000003c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    154: PC=0x0000003c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    158: PC=0x0000003c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    158: PC=0x0000003c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    162: PC=0x0000003c, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    162: PC=0x00000040, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    166: PC=0x00000040, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    166: PC=0x00000040, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    170: PC=0x00000040, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    170: PC=0x00000040, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    174: PC=0x00000044, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    174: PC=0x00000044, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    178: PC=0x00000044, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    178: PC=0x00000044, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    182: PC=0x00000044, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    182: PC=0x00000048, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    186: PC=0x00000048, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    186: PC=0x00000048, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    190: PC=0x00000048, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    190: PC=0x00000048, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    194: PC=0x0000004c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    194: PC=0x0000004c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    198: PC=0x0000004c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    198: PC=0x0000004c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    202: PC=0x0000004c, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    202: PC=0x00000050, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    206: PC=0x00000050, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    206: PC=0x00000050, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    210: PC=0x00000050, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    210: PC=0x00000050, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    214: PC=0x00000054, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    214: PC=0x00000054, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    218: PC=0x00000054, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    218: PC=0x00000054, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    222: PC=0x00000054, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    222: PC=0x00000058, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    226: PC=0x00000058, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    226: PC=0x00000058, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    230: PC=0x00000058, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    230: PC=0x00000058, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    234: PC=0x0000005c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    234: PC=0x0000005c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    238: PC=0x0000005c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    238: PC=0x0000005c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    242: PC=0x0000005c, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    242: PC=0x00000060, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    246: PC=0x00000060, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    246: PC=0x00000060, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    250: PC=0x00000060, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    250: PC=0x00000060, Instr=0x00000000, ALU=0x00000000, Stall=0
